cbg,RCN
482450017002,-1.1102230246251565e-15
482450017003,8.881784197001252e-16
482450019001,5.551115123125783e-16
482450019002,2.7755575615628914e-15
482450019003,1.2212453270876722e-15
482450020001,8.881784197001252e-16
482450020002,-1.887379141862766e-15
482450021001,-9.992007221626409e-16
482450021002,8.881784197001252e-16
482450021003,1.3322676295501878e-15
482450022001,1.1102230246251565e-15
482450022002,7.771561172376096e-16
482450022003,1.887379141862766e-15
482450023001,8.881784197001252e-16
482450023002,1.2212453270876722e-15
482450023003,-2.55351295663786e-15
482450023004,-2.1094237467877974e-15
482450023005,2.6645352591003757e-15
482450024001,1.4432899320127035e-15
482450024002,5.551115123125783e-16
482450024003,-1.5543122344752192e-15
482450024004,8.881784197001252e-16
482450025001,-5.551115123125783e-16
482450025002,1.3322676295501878e-15
482450026001,1.5543122344752192e-15
482450026002,-2.220446049250313e-16
482450026003,-4.440892098500626e-16
482450026004,-1.9984014443252818e-15
482450026005,-1.6653345369377348e-15
482450051001,-1.3322676295501878e-15
482450051002,-2.1094237467877974e-15
482450054001,1.2212453270876722e-15
482450054002,-5.551115123125783e-16
482450055001,1.4432899320127035e-15
482450055002,-1.1102230246251565e-16
482450055003,-1.5543122344752192e-15
482450055004,1.9984014443252818e-15
482450056001,-4.440892098500626e-16
482450056002,4.440892098500626e-16
482450056003,-2.55351295663786e-15
482450056004,-1.5543122344752192e-15
482450059001,-1.6653345369377348e-15
482450059002,-1.1102230246251565e-16
482450061001,-2.220446049250313e-15
482450061002,-9.992007221626409e-16
482450061003,-1.1102230246251565e-16
482450063001,2.3314683517128287e-15
482450063002,1.6653345369377348e-15
482450064001,-1.9984014443252818e-15
482450064002,1.4432899320127035e-15
482450065001,1.1102230246251565e-15
482450065002,6.661338147750939e-16
482450065003,0.0
482450065004,7.771561172376096e-16
482450066001,1.9984014443252818e-15
482450066002,3.3306690738754696e-16
482450066003,-1.2212453270876722e-15
482450067001,-9.992007221626409e-16
482450067002,1.4432899320127035e-15
482450068001,7.771561172376096e-16
482450068002,6.661338147750939e-16
482450069001,1.7763568394002505e-15
