cbg,deg_t0,deg_tD,deg_t1,vulnerability,robustness,drop_depth,recovery_rate,area_loss
481990301001,0.0,0.6123456790123458,0.6370370370370373,0.6123456790123458,0.024691358024691468,-0.6123456790123458,0.024691358024691468,-0.6123456790123458
481990301002,0.6064814814814816,0.7990740740740743,0.6009259259259261,0.19259259259259265,-0.19814814814814818,-0.19259259259259265,-0.19814814814814818,-0.19259259259259265
481990301003,0.6203554119547654,0.9038772213247173,0.9846526655896604,0.28352180936995186,0.0807754442649431,-0.28352180936995186,0.0807754442649431,-0.28352180936995186
481990302001,0.6056338028169015,0.6348862405200433,0.6323582520765618,0.029252437703141787,-0.002527988443481455,-0.029252437703141787,-0.002527988443481455,-0.029252437703141787
481990302002,0.7010443864229765,1.0,0.17471714534377725,0.2989556135770235,-0.8252828546562228,-0.2989556135770235,-0.8252828546562228,-0.2989556135770235
481990302003,0.8907127429805612,0.8107991360691145,0.9917926565874726,-0.07991360691144678,0.18099352051835815,0.07991360691144678,0.18099352051835815,0.07991360691144678
481990303001,0.3110846245530392,0.554628526023043,0.7199046483909415,0.24354390147000382,0.16527612236789846,-0.24354390147000382,0.16527612236789846,-0.24354390147000382
481990303002,0.4645902415916625,0.73567029843676,0.84580767408811,0.2710800568450975,0.11013737565134996,-0.2710800568450975,0.11013737565134996,-0.2710800568450975
481990303003,0.17065390749601272,0.4784688995215314,0.8668261562998407,0.30781499202551865,0.38835725677830935,-0.30781499202551865,0.38835725677830935,-0.30781499202551865
481990303004,0.2424242424242422,0.43381180223285476,0.3859649122807016,0.19138755980861255,-0.04784688995215314,-0.19138755980861255,-0.04784688995215314,-0.19138755980861255
481990304001,0.8143773202834963,0.9949375632804591,1.0000000000000002,0.18056024299696283,0.005062436719541097,-0.18056024299696283,0.005062436719541097,-0.18056024299696283
481990304002,0.29081632653061185,0.8724489795918364,0.9221938775510203,0.5816326530612246,0.04974489795918391,-0.5816326530612246,0.04974489795918391,-0.5816326530612246
481990304003,0.6500429922613931,0.8525365434221839,1.0,0.20249355116079082,0.14746345657781612,-0.20249355116079082,0.14746345657781612,-0.20249355116079082
481990305011,0.27826086956521756,0.23478260869565215,0.4678260869565225,-0.04347826086956541,0.23304347826087035,0.04347826086956541,0.23304347826087035,0.04347826086956541
481990305012,0.8304523721956603,1.0,0.18661272526664208,0.16954762780433974,-0.8133872747333579,-0.16954762780433974,-0.8133872747333579,-0.16954762780433974
481990305021,0.12899842684845308,0.2364971158888306,0.15128474042999474,0.10749868904037752,-0.08521237545883587,-0.10749868904037752,-0.08521237545883587,-0.10749868904037752
481990305022,0.6592645230058625,0.7582163794634926,0.9383549475928228,0.09895185645763016,0.18013856812933016,-0.09895185645763016,0.18013856812933016,-0.09895185645763016
481990305023,0.5230912973838762,0.5608649225840896,0.709289909236519,0.037773625200213434,0.14842498665242942,-0.037773625200213434,0.14842498665242942,-0.037773625200213434
